  90
1      0.0
1      -1.0
1      -2.0
1      -3.0
1      -5.0
1      -7.5
1     -10.0
1     -12.5
1     -15.
1     -20.
1     -35.
1     -50.
1     -70.
1    -100.
1    -125.
1    -200.
1    -350.
1    -600.
1    -800.
1   -1000.
1   -1500.
1   -2500.
1   -3000.
1   -3500.
1   -5000.
1   -6000.
1   -7500.
1   -8700.
2      5.
2     10.
2     15.
2     20.
2     25.
2     30.
2     40.
2     50.
2     60.
2     70.
2     80.
2     90.
2    100.
2    110.
2    120.
2    130.
2    140.
2    150.
2    160.
2    170.
2    180.
2    190.
2    200.
2    210.
2    220.
2    235.
2    250.
2    275.
2    300.
2    350.
2    400.
2    450.
2    500.
2    600.
2    700.
2    800.
2   1000.
2   1250.
2   1500.
2   1750.
2   2000.
2   2500.
2   3000.
2   3500.
2   4000.
2   4500.
2   5000.
2   5500.
2   6000.
2   6500.
2   7000.
2   8000.
2   9000.
2  10000.
2  11000.
2  12000.
2  18000.
2  24000.
2  30000.
2  40000.
2  50000.
2  60000.
